playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.6638","null","null","362","362","null","null","0.1061","null","null","null","3.2734","0.39","5.3142","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","6.3082","null","null","205","205","null","null","0.1683","null","null","null","8.0847","4.3939","2.7928","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.7408","null","null","430","430","null","null","0.0825","null","null","null","1.2645","0.02","5.6144","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","17.8878","null","null","13","13","null","null","1.9962","null","null","null","19.7307","13.9501","6.8206","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.2485","null","null","387","387","null","null","0.2105","null","null","null","2.1311","0","2.7049","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","9.7842","null","null","108","108","null","null","0.1889","null","null","null","11.3216","5.5222","4.0419","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","4.6051","null","null","264","264","null","null","0.0303","null","null","null","5.7102","2.95","2.4934","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.9459","null","null","6","6","null","null","0.4109","null","null","null","20.3492","17.5812","5.1801","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","4.3605","null","null","274","274","null","null","0.0766","null","null","null","5.6907","2.48","1.9199","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.8835","null","null","20","20","null","null","0.1603","null","null","null","18.3122","13.4","2.6953","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","9.6167","null","null","113","113","null","null","0.3803","null","null","null","11.6248","4.9937","6.739","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","16.2344","null","null","29","29","null","null","0.7065","null","null","null","17.5356","14.3","6.7613","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","13.7603","null","null","47","47","null","null","0.3377","null","null","null","15.7295","11.52","5.2039","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","11.0397","null","null","84","84","null","null","0.1237","null","null","null","13.2291","6.8578","5.8227","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","4.2239","null","null","278","278","null","null","0.2147","null","null","null","5.2637","1.0299","4.3217","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","10.884","null","null","89","89","null","null","0.567","null","null","null","13.2372","9.0906","6.7017","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","8.837","null","null","136","136","null","null","0.5716","null","null","null","11.0244","6.87","3.1268","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","1.4182","null","null","377","377","null","null","0.0582","null","null","null","2.9107","0","5.2725","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","10.718","null","null","91","91","null","null","0.171","null","null","null","11.5878","8.87","3.326","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","7.5006","null","null","174","174","null","null","0.273","null","null","null","8.3878","5.1065","2.1063","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","10.4625","null","null","97","97","null","null","0.4685","null","null","null","13.1204","7.05","4.0409","null",
"4381","null","Garrett Hartley","K","PIT","K","PIT","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","2.9024","null","null","320","320","null","null","0.1124","null","null","null","4.0431","0.03","5.2153","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.512","null","null","457","457","null","null","0.0273","null","null","null","1.2187","0","4.122","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","8.2483","null","null","154","154","null","null","0.079","null","null","null","9.9475","5.6146","1.8359","null",
"71247","null","James Casey","TE","DEN","TE","DEN","null","0.7968","null","null","422","422","null","null","0.0226","null","null","null","1.1063","0.167","5.1827","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0.4058","null","null","467","467","null","null","0.0139","null","null","null","0.6165","0","5.6964","null",
"71265","null","Jared Cook","TE","STL","TE","STL","null","7.911","null","null","164","164","null","null","0.7168","null","null","null","10.3234","4.3054","6.4575","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","8.2824","null","null","153","153","null","null","0.0599","null","null","null","10.988","5.5589","4.7669","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","8.8797","null","null","132","132","null","null","0.0582","null","null","null","10.751","6.9553","3.2823","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","11.4925","null","null","75","75","null","null","0.1943","null","null","null","13.2233","6.97","4.6207","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","1.0286","null","null","403","403","null","null","0.0451","null","null","null","1.6961","0","4.3388","null",
"71435","null","John Phillips","TE","SD","TE","SD","null","0.402","null","null","470","470","null","null","0.0371","null","null","null","0.7362","0.01","5.5572","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","2.3412","null","null","334","334","null","null","0.0435","null","null","null","4.4331","0","8.8917","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","11.6237","null","null","72","72","null","null","0.1621","null","null","null","14.6556","8.36","6.8467","null",
