playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","1.0562","null","null","347","347","null","null","0.0821","null","null","null","2.1335","0","5.1298","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","9.8833","null","null","89","89","null","null","0.6731","null","null","null","12.6081","0","11.5826","null",
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.3916","null","null","410","410","null","null","0.0278","null","null","null","0.7191","0","7.8705","null",
"79858","null","Mark Sanchez","QB","PHI","QB","PHI","null","1.1478","null","null","341","341","null","null","0.2169","null","null","null","1.9496","-0.0689","2.6391","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","17.9995","null","null","12","12","null","null","0.2788","null","null","null","19.5113","15.26","2.6376","null",
"80425","null","Percy Harvin","WR","BUF","WR","BUF","null","7.9288","null","null","137","137","null","null","0.1726","null","null","null","8.5858","6.9287","3.8842","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","2.7924","null","null","288","288","null","null","0.1427","null","null","null","4.2618","0.5369","1.5184","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","13.6466","null","null","47","47","null","null","0.1782","null","null","null","15.5113","12.15","4.7583","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","KC","QB","KC","null","0.2597","null","null","426","426","null","null","0.0208","null","null","null","0.413","0","4.5012","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","HOU","QB","HOU","null","13.6726","null","null","46","46","null","null","0.2952","null","null","null","16.8819","0","10.3411","null",
"81306","null","Brandon Tate","WR","CIN","WR","CIN","null","1.0522","null","null","348","348","null","null","0.0576","null","null","null","2.187","0.1743","7.5679","null",
"81831","null","Brian Hartline","WR","CLE","WR","CLE","null","4.6809","null","null","236","236","null","null","0.1544","null","null","null","5.3725","3.8008","4.0673","null",
"81857","null","Kevin Ogletree","WR","FA","WR","FA","null","0","null","null","475","781","null","null","0","null","null","null","0","0","null","null",
"89688","null","Kevin Brock","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"89798","null","Antone Smith","RB","CHI","RB","CHI","null","0.4644","null","null","402","402","null","null","0.0785","null","null","null","1.0032","0","4.1247","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","null","7.2567","null","null","160","160","null","null","0.1072","null","null","null","9.1589","0","7.9708","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","7.4216","null","null","153","153","null","null","0.452","null","null","null","8.054","4.7229","8.0396","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","8.3024","null","null","123","123","null","null","0.3087","null","null","null","8.5817","4.984","3.2546","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","6.3873","null","null","181","181","null","null","0.4164","null","null","null","6.8084","3.9943","3.5447","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","7.8132","null","null","141","141","null","null","0.307","null","null","null","9.6957","6.1051","2.8508","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","6.0839","null","null","188","188","null","null","0.2621","null","null","null","7.2676","4","5.4763","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","8.3479","null","null","120","120","null","null","0.0328","null","null","null","10.2297","6.9","4.6329","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","5.7859","null","null","201","201","null","null","0.2071","null","null","null","7.1804","3.04","2.5382","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","10.1441","null","null","84","84","null","null","1.1086","null","null","null","14.2723","4.3952","12.5495","null",
"100010","null","Lions","DST","DET","DST","DET","null","6.8631","null","null","170","170","null","null","0.2701","null","null","null","8.1048","4.984","3.1513","null",
"100011","null","Packers","DST","GB","DST","GB","null","9.1259","null","null","101","101","null","null","0.24","null","null","null","10.9968","4.937","5.7546","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","8.1743","null","null","124","124","null","null","0.4722","null","null","null","8.3062","7","5.9134","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","6.4786","null","null","179","179","null","null","0.243","null","null","null","8.7816","3.1","3.7899","null",
"100014","null","Colts","DST","IND","DST","IND","null","3.515","null","null","257","257","null","null","null","null","null","null","4.0984","2.5","5.7531","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","5.5596","null","null","209","209","null","null","0.8975","null","null","null","7.4215","3.8","3.014","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","7.0023","null","null","167","167","null","null","0.1023","null","null","null","7.8356","5.3582","3.9108","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","5.5979","null","null","208","208","null","null","0.1563","null","null","null","6.1798","3.9","4.6343","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","6.6623","null","null","173","173","null","null","0.1586","null","null","null","7.7562","5.5718","4.3518","null",
"100021","null","Patriots","DST","NE","DST","NE","null","7.5909","null","null","151","151","null","null","0.379","null","null","null","8.572","5.0388","3.3386","null",
"100022","null","Saints","DST","NO","DST","NO","null","4.0006","null","null","249","249","null","null","0.5633","null","null","null","5.497","-0.2","4.3016","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","6.5239","null","null","176","176","null","null","0.0428","null","null","null","6.7012","1.8537","4.7582","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","8.945","null","null","105","105","null","null","0.3578","null","null","null","10.0651","5.8031","5.8273","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","6.937","null","null","169","169","null","null","0.1743","null","null","null","8.9811","4.3","4.109","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","8.8267","null","null","108","108","null","null","0.4889","null","null","null","9.9422","6.0179","3.4884","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","5.3237","null","null","218","218","null","null","1.5659","null","null","null","7.1107","3.0028","3.2438","null",
"100028","null","Chargers","DST","SD","DST","SD","null","3.3596","null","null","262","262","null","null","null","null","null","null","4.3134","-1.1","3.3515","null",
"100029","null","49ers","DST","SF","DST","SF","null","5.8577","null","null","197","197","null","null","0.1658","null","null","null","6.4625","3.5","3.5406","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","8.3276","null","null","122","122","null","null","0.0893","null","null","null","8.8598","6.2459","5.6616","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","6.4836","null","null","178","178","null","null","0.0506","null","null","null","7.4464","3.899","3.3946","null",
"163982","null","Will Johnson","RB","PIT","RB","PIT","null","0.7544","null","null","376","376","null","null","0.0705","null","null","null","1.7329","0.01","7.6325","null",
"238445","null","Frank Summers","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","0.7384","null","null","377","377","null","null","0.0256","null","null","null","1.2509","0.03","3.8939","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","15.5477","null","null","32","32","null","null","0.27","null","null","null","17.1225","12.32","4.9581","null",
"496812","null","Erik Lorig","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"497095","null","Sam Bradford","QB","PHI","QB","PHI","null","17.5971","null","null","16","16","null","null","0.2783","null","null","null","18.2686","14.3277","2.5361","null",
"497108","null","Jimmy Clausen","QB","CHI","QB","CHI","null","0.4816","null","null","401","401","null","null","0.0634","null","null","null","0.8502","0","4.2463","null",
"497117","null","Mike Kafka","QB","FA","QB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","PHI","QB","PHI","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.8702","null","null","366","366","null","null","0.0877","null","null","null","1.592","0","3.2564","null",
"497135","null","Tim Tebow","QB","FA","QB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"497145","null","Joique Bell","RB","DET","RB","DET","null","5.657","null","null","204","204","null","null","0.2822","null","null","null","6.7092","2.7509","3.6315","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","10.7541","null","null","77","77","null","null","0.1877","null","null","null","11.6695","7.99","4.511","null",
"497172","null","Anthony Dixon","RB","BUF","RB","BUF","null","3.1976","null","null","267","267","null","null","0.0473","null","null","null","4.5822","0.9624","1.9174","null",
"497174","null","Jonathan Dwyer","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","JAC","RB","JAC","null","5.1912","null","null","222","222","null","null","0.0641","null","null","null","8.6259","2.26","5.3458","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","6.037","null","null","190","190","null","null","0.1759","null","null","null","9.098","3.5983","5.0253","null",
"497190","null","Dexter McCluster","RB","TEN","RB","TEN","null","6.4432","null","null","180","180","null","null","0.1123","null","null","null","8.5504","3.4526","4.6873","null",
"497192","null","Joe McKnight","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"497204","null","C.J. Spiller","RB","NO","RB","NO","null","7.6105","null","null","150","150","null","null","0.2023","null","null","null","9.2269","4.5","6.2792","null",
"497206","null","James Starks","RB","GB","RB","GB","null","5.8791","null","null","194","194","null","null","0.042","null","null","null","7.5088","2.9617","2.3616","null",
"497208","null","Ben Tate","RB","FA","RB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
