playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","518","518","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.0068","null","null","350","350","null","null","0.0608","null","null","null","3.3051","1.16","5.4441","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","518","518","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","6.0036","null","null","223","223","null","null","0.0264","null","null","null","7.5001","4.73","3.1692","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.2822","null","null","446","446","null","null","0.033","null","null","null","0.5441","0","4.8268","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","13.7681","null","null","52","52","null","null","0.1167","null","null","null","16.4513","9.52","5.6592","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.9136","null","null","394","394","null","null","0.137","null","null","null","1.3731","0","3.2687","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","11.9757","null","null","75","75","null","null","0.6036","null","null","null","13.9918","6.0549","4.3544","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","14.0585","null","null","48","48","null","null","0.3395","null","null","null","15.8107","11.4","3.1009","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.1358","null","null","13","13","null","null","0.0625","null","null","null","19.2526","16.2366","3.1856","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0.921","null","null","392","392","null","null","0.0677","null","null","null","2.1146","0","1.9181","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","7.3346","null","null","185","185","null","null","0.3605","null","null","null","8.6202","2.8465","3.1321","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0.0857","null","null","476","476","null","null","0.019","null","null","null","0.0992","0","6.1872","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","0","null","null","518","872","null","null","0","null","null","null","0","0","null","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","11.9742","null","null","76","76","null","null","0.2362","null","null","null","14.7092","5.688","8.1353","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","518","518","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","518","870","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","0","null","null","518","870","null","null","0","null","null","null","0","0","null","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","518","870","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","518","870","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","12.8213","null","null","62","62","null","null","0.3146","null","null","null","15.2203","11.11","4.7859","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","518","518","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","518","518","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","12.5432","null","null","69","69","null","null","0.396","null","null","null","15.0134","10.27","4.2104","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","0","null","null","518","518","null","null","0","null","null","null","0","0","null","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","518","518","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","12.783","null","null","63","63","null","null","0.135","null","null","null","15.4199","9.7213","6.62","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","518","518","null","null","0","null","null","null","0","0","null","null",
