playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","423","423","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.7672","null","null","246","246","null","null","0.032","null","null","null","3.6176","1.74","5.7159","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","423","423","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","6.7964","null","null","157","157","null","null","0.0633","null","null","null","8.3263","2.0909","3.5057","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.3198","null","null","373","373","null","null","0.0061","null","null","null","0.6504","0.03","6.6849","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","0","null","null","423","749","null","null","0","null","null","null","0","0","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.0359","null","null","317","317","null","null","0.15","null","null","null","1.7928","0","3.4617","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","14.4936","null","null","35","35","null","null","0.0976","null","null","null","16.7088","10.53","4.3788","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.3309","null","null","7","7","null","null","0.2599","null","null","null","21.0446","18.1781","2.9065","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","3.687","null","null","224","224","null","null","0.1913","null","null","null","5.862","0.337","4.6019","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","7.8972","null","null","134","134","null","null","1.0667","null","null","null","9.6131","5.87","4.3358","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","423","423","null","null","0","null","null","null","0","0","null","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","11.3007","null","null","71","71","null","null","0.3201","null","null","null","13.6729","8.42","4.5681","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","423","423","null","null","0","null","null","null","0","0","null","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","423","749","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","423","749","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","12.1915","null","null","63","63","null","null","0.1162","null","null","null","14.2018","8.3088","5.6627","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","423","423","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","423","423","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","11.1581","null","null","72","72","null","null","0.2495","null","null","null","14.8669","8.06","6.4578","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","10.8023","null","null","77","77","null","null","0.3377","null","null","null","15.0007","9.276","7.7729","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","423","423","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","10.4967","null","null","81","81","null","null","0.1146","null","null","null","12.8423","5.8175","6.6013","null",
