playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.5286","null","null","398","398","null","null","0.0058","null","null","null","0.9752","0.1","5.7466","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1302","null","null","345","345","null","null","0.0782","null","null","null","1.9464","0","2.799","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","11.4408","null","null","67","67","null","null","0.7844","null","null","null","13.4523","7.6203","3.7561","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","6.1898","null","null","188","188","null","null","0.1002","null","null","null","9.0012","0.28","8.5651","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.5833","null","null","10","10","null","null","0.3628","null","null","null","20.186","16.914","3.7313","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","1.0481","null","null","349","349","null","null","0.0636","null","null","null","2.3565","0","3.1958","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","5.1644","null","null","214","214","null","null","0.7423","null","null","null","6.3235","2.1826","4.4729","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.0639","null","null","20","20","null","null","0.4473","null","null","null","18.0801","12.472","3.0016","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","8.158","null","null","133","133","null","null","0.2516","null","null","null","9.7085","5.8","3.2681","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","13.4058","null","null","50","50","null","null","0.6737","null","null","null","14.9879","10.52","5.6557","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","10.1926","null","null","83","83","null","null","0.275","null","null","null","11.309","6.7745","5.0158","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","9.9361","null","null","87","87","null","null","0.6477","null","null","null","13.5049","8.08","6.5409","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.691","null","null","384","384","null","null","0.0306","null","null","null","1.3828","0.05","5.4265","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","11.1001","null","null","70","70","null","null","0.0783","null","null","null","14.1951","9.14","4.2934","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","7.4799","null","null","152","152","null","null","0.4131","null","null","null","8.821","3.233","2.3367","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","11.1201","null","null","69","69","null","null","0.9814","null","null","null","11.8895","8.68","11.5337","null",
"4381","null","Garrett Hartley","K","FA","K","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0.0166","null","null","466","466","null","null","0.0089","null","null","null","0.0305","0","7.6823","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","4.1606","null","null","245","245","null","null","0.1892","null","null","null","6.0818","1.767","5.2341","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.3075","null","null","421","421","null","null","0.0343","null","null","null","0.4565","0","7.8901","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","8.2747","null","null","130","130","null","null","0.0952","null","null","null","11.4331","5.05","7.187","null",
"71247","null","James Casey","TE","FA","TE","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0.2827","null","null","423","423","null","null","0.0395","null","null","null","0.4675","0","5.3549","null",
"71265","null","Jared Cook","TE","STL","TE","STL","null","6.4829","null","null","175","175","null","null","0.244","null","null","null","6.9726","5.2769","3.4593","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","10.5964","null","null","79","79","null","null","0.1654","null","null","null","12.7959","7.2835","5.486","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","8.8481","null","null","114","114","null","null","0.1995","null","null","null","9.2735","6.6976","3.3711","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","9.6582","null","null","93","93","null","null","0.3429","null","null","null","10.8895","7.35","3.7387","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","1.0049","null","null","357","357","null","null","0.1055","null","null","null","1.6601","0","4.3997","null",
"71435","null","John Phillips","TE","SD","TE","SD","null","0.4097","null","null","409","409","null","null","0.0385","null","null","null","0.7784","0.01","4.4434","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","15.4439","null","null","26","26","null","null","0.2101","null","null","null","16.6436","11.85","4.9458","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","471","471","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","1.3728","null","null","332","332","null","null","0.016","null","null","null","2.7963","0","6.6665","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","14.4943","null","null","40","40","null","null","0.4347","null","null","null","16.5943","9.89","6.8977","null",
