playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","503","834","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.7491","null","null","336","336","null","null","0.2737","null","null","null","2.5101","0.38","5.7159","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","503","503","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.6551","null","null","415","415","null","null","0.0901","null","null","null","0.997","0.04","5.8971","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","17.9501","null","null","9","9","null","null","0.5105","null","null","null","19.7304","15.83","6.1862","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.3249","null","null","354","354","null","null","0.1325","null","null","null","2.2869","0","1.9009","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","10.1761","null","null","91","91","null","null","1.025","null","null","null","11.941","2.9568","6.1344","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","4.7214","null","null","245","245","null","null","0.2128","null","null","null","6.4485","1.9017","2.4483","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.6839","null","null","7","7","null","null","0.6883","null","null","null","19.9113","16.416","5.6124","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","503","834","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","0","null","null","503","503","null","null","0","null","null","null","0","0","null","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","503","503","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","17.8508","null","null","10","10","null","null","0.4383","null","null","null","18.8026","15.516","3.3792","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","9.3293","null","null","103","103","null","null","0.0583","null","null","null","11.5763","4.8217","4.81","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","503","834","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","17.0748","null","null","18","18","null","null","1.7953","null","null","null","18.9075","14.83","6.5001","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","11.7721","null","null","68","68","null","null","0.4971","null","null","null","14.1366","8.7537","5.3693","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","503","503","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","503","503","null","null","0","null","null","null","0","0","null","null",
