playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
71435,null,John Phillips,TE,FA,TE,FA,null,2.5314,null,null,341,341,null,null,0.2283,null,null,null,4.6105,0,6.3734,null
79555,null,Arian Foster,RB,HOU,RB,HOU,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
79557,null,Josh Freeman,QB,FA,QB,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
79563,null,Shonn Greene,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
79589,null,David Johnson,TE,SD,TE,SD,null,3.2704,null,null,314,314,null,null,0.0839,null,null,null,7.0009,0.493,9.6075,null
79607,null,LeSean McCoy,RB,BUF,RB,BUF,null,12.5861,null,null,62,62,null,null,0.3192,null,null,null,14.7344,8.6497,6.472,null
79619,null,Knowshon Moreno,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
79625,null,Bear Pascoe,TE,FA,TE,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
79629,null,Cedric Peerman,RB,CIN,RB,CIN,null,0.4384,null,null,476,476,null,null,0.0522,null,null,null,0.7382,0.04,7.9598,null
79858,null,Mark Sanchez,QB,PHI,QB,PHI,null,1.2824,null,null,394,394,null,null,0.2209,null,null,null,2.3803,-0.0689,3.6917,null
79860,null,Matthew Stafford,QB,DET,QB,DET,null,18.5004,null,null,13,13,null,null,0.1124,null,null,null,20.0351,16.8891,3.547,null
80425,null,Percy Harvin,WR,BUF,WR,BUF,null,7.0387,null,null,183,183,null,null,0.1192,null,null,null,8.4893,3.85,3.0274,null
80427,null,Darrius Heyward-Bey,WR,PIT,WR,PIT,null,3.4332,null,null,310,310,null,null,0.1967,null,null,null,4.6998,0.7432,1.3972,null
80429,null,Jeremy Maclin,WR,KC,WR,KC,null,11.9967,null,null,70,70,null,null,0.134,null,null,null,15.283,10.036,5.5483,null
80670,null,Louis Murphy,WR,TB,WR,TB,null,4.1023,null,null,284,284,null,null,0.0466,null,null,null,5.0996,0.9245,2.7984,null
80672,null,Hakeem Nicks,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
80674,null,Chris Ogbonnaya,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
81284,null,Chase Daniel,QB,KC,QB,KC,null,0.2169,null,null,505,505,null,null,0.0275,null,null,null,0.4429,-0.04,5.9075,null
81288,null,Brandon Gibson,WR,NE,WR,NE,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
81294,null,Brian Hoyer,QB,HOU,QB,HOU,null,12.9501,null,null,59,59,null,null,5.7936,null,null,null,14.6325,11.0172,2.1756,null
81306,null,Brandon Tate,WR,CIN,WR,CIN,null,1.4,null,null,387,387,null,null,0.1123,null,null,null,2.6958,0.1049,7.655,null
81831,null,Brian Hartline,WR,CLE,WR,CLE,null,6.2705,null,null,214,214,null,null,0.4021,null,null,null,7.2091,5.0992,3.259,null
81857,null,Kevin Ogletree,WR,FA,WR,FA,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
89688,null,Kevin Brock,TE,NO,TE,NO,null,0,null,null,543,543,null,null,0,null,null,null,0,0,null,null
89766,null,Brandon Myers,TE,TB,TE,TB,null,1.9388,null,null,361,361,null,null,0.149,null,null,null,2.2955,1.03,5.383,null
89798,null,Antone Smith,RB,FA,RB,FA,null,0,null,null,543,875,null,null,0,null,null,null,0,0,null,null
89802,null,Ryan Succop,K,TEN,K,TEN,null,7.6848,null,null,164,164,null,null,0.1941,null,null,null,9.999,5.2811,5.9557,null
100001,null,Falcons,DST,ATL,DST,ATL,null,5.771,null,null,228,228,null,null,0.424,null,null,null,7.2642,2.15,8.9524,null
100002,null,Ravens,DST,BAL,DST,BAL,null,4.4113,null,null,268,268,null,null,1.8457,null,null,null,5.6936,3.693,2.728,null
100003,null,Bills,DST,BUF,DST,BUF,null,8.1282,null,null,149,149,null,null,0.3732,null,null,null,8.8716,5.7872,2.9759,null
100004,null,Panthers,DST,CAR,DST,CAR,null,10.9329,null,null,87,87,null,null,1.8086,null,null,null,11.2527,9.5554,8.3764,null
100005,null,Bears,DST,CHI,DST,CHI,null,1.1004,null,null,406,406,null,null,null,null,null,null,4.5124,0,8.9119,null
100006,null,Bengals,DST,CIN,DST,CIN,null,8.4661,null,null,139,139,null,null,0.3145,null,null,null,10.313,6.6,5.5832,null
100007,null,Browns,DST,CLE,DST,CLE,null,7.2708,null,null,174,174,null,null,0.0753,null,null,null,8.5544,5.293,2.6048,null
100008,null,Cowboys,DST,DAL,DST,DAL,null,6.6234,null,null,197,197,null,null,0.1844,null,null,null,8.4812,3.9383,5.6032,null
100009,null,Broncos,DST,DEN,DST,DEN,null,5.8126,null,null,226,226,null,null,0.0789,null,null,null,6.4561,4.977,4.6174,null
100010,null,Lions,DST,DET,DST,DET,null,6.4398,null,null,209,209,null,null,0.0806,null,null,null,7.7256,5.86,3.9782,null
100011,null,Packers,DST,GB,DST,GB,null,7.705,null,null,163,163,null,null,0.1427,null,null,null,10.1036,4.9156,7.4999,null
100012,null,Titans,DST,TEN,DST,TEN,null,7.3627,null,null,172,172,null,null,0.1012,null,null,null,8.7931,5.1,2.971,null
100013,null,Texans,DST,HOU,DST,HOU,null,7.8051,null,null,157,157,null,null,0.1432,null,null,null,8.4404,5.8,3.9405,null
100014,null,Colts,DST,IND,DST,IND,null,6.7677,null,null,193,193,null,null,0.1029,null,null,null,8.4331,4.7,4.3191,null
100015,null,Jaguars,DST,JAC,DST,JAC,null,6.4383,null,null,210,210,null,null,0.2763,null,null,null,7.558,3.937,2.3587,null
100016,null,Chiefs,DST,KC,DST,KC,null,7.2523,null,null,175,175,null,null,0.2719,null,null,null,8.0922,5.7,4.9704,null
100017,null,Rams,DST,STL,DST,STL,null,6.822,null,null,190,190,null,null,0.0453,null,null,null,8.4536,4.76,2.9344,null
100018,null,Raiders,DST,OAK,DST,OAK,null,4.9976,null,null,251,251,null,null,0.5534,null,null,null,5.6895,3.4,6.1594,null
100019,null,Dolphins,DST,MIA,DST,MIA,null,8.5509,null,null,136,136,null,null,0.2303,null,null,null,10.0669,5.9392,7.6595,null
100020,null,Vikings,DST,MIN,DST,MIN,null,6.7858,null,null,192,192,null,null,0.0489,null,null,null,8.0366,6.7,5.9653,null
100021,null,Patriots,DST,NE,DST,NE,null,6.0438,null,null,216,216,null,null,0.1919,null,null,null,6.433,4.8077,6.2928,null
100022,null,Saints,DST,NO,DST,NO,null,5.8912,null,null,222,222,null,null,0.0994,null,null,null,7.2251,2.8142,4.2411,null
