playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.9787","null","null","309","309","null","null","0.3063","null","null","null","4.1232","1.5","4.8538","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","6.7822","null","null","201","201","null","null","0.1403","null","null","null","11.3237","3.5659","3.4715","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.3491","null","null","455","455","null","null","0.045","null","null","null","0.6531","0.03","5.7122","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","12.9087","null","null","69","69","null","null","0.214","null","null","null","15.4529","9.2017","5.9981","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.8596","null","null","404","404","null","null","0.1561","null","null","null","1.4958","0","3.0035","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","534","871","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","14.3","null","null","50","50","null","null","0.3667","null","null","null","15.4359","11.8","3.1072","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.0795","null","null","7","7","null","null","0.1879","null","null","null","21.8596","16.4586","3.6168","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","1.1721","null","null","387","387","null","null","0.1671","null","null","null","2.2574","0.135","2.41","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","8.4327","null","null","141","141","null","null","0.3887","null","null","null","9.6952","3.0541","3.2109","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0.2732","null","null","465","465","null","null","0.0404","null","null","null","0.4049","0","3.8572","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","0","null","null","534","872","null","null","0","null","null","null","0","0","null","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","11.2828","null","null","87","87","null","null","0.138","null","null","null","12.9081","7.36","3.1655","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","534","534","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","534","871","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","0","null","null","534","871","null","null","0","null","null","null","0","0","null","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","534","871","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","534","871","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","14.3111","null","null","48","48","null","null","0.1497","null","null","null","15.9164","11.99","4.8088","null",
