playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","470","785","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.8998","null","null","306","306","null","null","0.1022","null","null","null","3.3091","0.07","5.2707","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","1.0622","null","null","344","344","null","null","0.1124","null","null","null","1.8885","0","2.4389","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","17.353","null","null","22","22","null","null","1.0387","null","null","null","19.1917","13.7727","5.9292","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","13.2232","null","null","56","56","null","null","0.5375","null","null","null","15.7263","6.3191","5.9263","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","13.0103","null","null","59","59","null","null","0.6685","null","null","null","14.7292","10.36","2.7881","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.8579","null","null","5","5","null","null","0.3261","null","null","null","20.7117","17.4752","2.8349","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","1.2686","null","null","332","332","null","null","0.0363","null","null","null","2.13","0.28","4.4189","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","5.736","null","null","202","202","null","null","0.7247","null","null","null","7.2272","2.2235","4.9126","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.8788","null","null","25","25","null","null","0.4239","null","null","null","18.0268","13.1012","3.1029","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","8.0371","null","null","141","141","null","null","0.443","null","null","null","9.4561","4.8406","3.1234","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","470","785","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","17.5448","null","null","20","20","null","null","0.6499","null","null","null","19.3148","14.6794","5.544","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","11.9533","null","null","69","69","null","null","0.3177","null","null","null","13.3723","8.4306","4.8873","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","470","785","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","470","785","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","10.4781","null","null","86","86","null","null","0.4699","null","null","null","14.7943","8.117","6.3132","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","10.8817","null","null","80","80","null","null","0.336","null","null","null","15.2255","8.8996","7.817","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","7.3368","null","null","160","160","null","null","0.1174","null","null","null","9.5386","4.9546","3.5538","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.5889","null","null","388","388","null","null","0.1004","null","null","null","1.0487","0.04","5.6259","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","8.3567","null","null","134","134","null","null","0.4126","null","null","null","10.4876","5.116","5.4044","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","10.6969","null","null","84","84","null","null","0.7165","null","null","null","12.0073","6.9","6.2511","null",
"4381","null","Garrett Hartley","K","FA","K","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0.0199","null","null","462","462","null","null","0.0083","null","null","null","0.0365","0","7.6713","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","3.6717","null","null","256","256","null","null","0.1034","null","null","null","4.7754","1.9788","5.2105","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.0026","null","null","468","468","null","null","0.0026","null","null","null","0.0061","0","8.4069","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","7.1827","null","null","167","167","null","null","0.0847","null","null","null","8.5478","5.1523","2.6101","null",
"71247","null","James Casey","TE","FA","TE","FA","null","0.0465","null","null","459","459","null","null","0.0465","null","null","null","0.0918","0","6.4378","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","STL","TE","STL","null","6.1945","null","null","188","188","null","null","0.1372","null","null","null","7.4452","3.9267","3.9648","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","11.028","null","null","77","77","null","null","0.1603","null","null","null","14.1752","7.4599","5.5366","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","8.6071","null","null","127","127","null","null","0.0448","null","null","null","9.4085","6.4106","2.7025","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","7.8241","null","null","146","146","null","null","0.1092","null","null","null","9.1278","4.2041","3.7494","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","1.3376","null","null","327","327","null","null","0.0571","null","null","null","2.3451","0.11","4.4486","null",
"71435","null","John Phillips","TE","SD","TE","SD","null","1.8686","null","null","308","308","null","null","0.2087","null","null","null","2.9972","0.05","3.6578","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","1.1869","null","null","338","338","null","null","0.1539","null","null","null","2.3514","0","5.0045","null",
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.3168","null","null","418","418","null","null","0.0056","null","null","null","0.6098","0","7.9375","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","17.6241","null","null","19","19","null","null","0.5741","null","null","null","18.7597","13.8794","2.9083","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","2.9911","null","null","278","278","null","null","0.4033","null","null","null","4.7941","0.709","1.7832","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","14.2286","null","null","48","48","null","null","0.3488","null","null","null","15.6092","11.95","4.7377","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","0","null","null","470","785","null","null","0","null","null","null","0","0","null","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","470","785","null","null","0","null","null","null","0","0","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","470","784","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","KC","QB","KC","null","0.2298","null","null","428","428","null","null","0.0482","null","null","null","0.3993","-0.07","4.3403","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","470","785","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","HOU","QB","HOU","null","16.4611","null","null","26","26","null","null","0.1219","null","null","null","17.3206","13.386","2.6795","null",
"81306","null","Brandon Tate","WR","CIN","WR","CIN","null","1.0756","null","null","343","343","null","null","0.0629","null","null","null","1.9507","0.1753","8.0431","null",
"81831","null","Brian Hartline","WR","CLE","WR","CLE","null","5.4826","null","null","208","208","null","null","0.1441","null","null","null","6.7871","2.953","2.0702","null",
"81857","null","Kevin Ogletree","WR","FA","WR","FA","null","0","null","null","470","785","null","null","0","null","null","null","0","0","null","null",
"89688","null","Kevin Brock","TE","FA","TE","FA","null","0","null","null","470","470","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","3.8835","null","null","246","246","null","null","0.0697","null","null","null","4.6603","2.2721","4.9863","null",
"89798","null","Antone Smith","RB","CHI","RB","CHI","null","0.3923","null","null","407","407","null","null","0.054","null","null","null","0.8374","0","4.3168","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","null","7.2383","null","null","164","164","null","null","3.4176","null","null","null","8.9584","4.6762","4.8531","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","8.3033","null","null","136","136","null","null","0.3844","null","null","null","8.8027","6.2371","3.6518","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","5.6591","null","null","207","207","null","null","0.5349","null","null","null","7.0686","3.4","8.2087","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","9.7067","null","null","100","100","null","null","0.3869","null","null","null","9.8348","9.1","8.4691","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","5.954","null","null","195","195","null","null","0.048","null","null","null","6.716","4.5","2.5592","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","6.2271","null","null","186","186","null","null","0.2465","null","null","null","7.3104","5.3","3.8881","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","4.1263","null","null","237","237","null","null","null","null","null","null","5.8665","2.5","7.6921","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","5.9235","null","null","196","196","null","null","0.1201","null","null","null","6.9124","4.6","2.5939","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","6.8745","null","null","172","172","null","null","0.1012","null","null","null","8.9532","4.0676","8.6236","null",
"100010","null","Lions","DST","DET","DST","DET","null","6.8492","null","null","175","175","null","null","0.1577","null","null","null","7.1018","5.7302","4.7071","null",
"100011","null","Packers","DST","GB","DST","GB","null","8.7146","null","null","122","122","null","null","0.4328","null","null","null","9.6283","5.1247","5.3086","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","6.6858","null","null","178","178","null","null","0.5687","null","null","null","9.7904","5.6","6.5591","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","7.4317","null","null","157","157","null","null","0.5529","null","null","null","9.3661","5.7","5.0162","null",
"100014","null","Colts","DST","IND","DST","IND","null","5.6995","null","null","204","204","null","null","0.1412","null","null","null","25.4988","4.887","6.1828","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","9.0506","null","null","116","116","null","null","0.2756","null","null","null","9.2156","7.3349","4.3059","null",
"100017","null","Rams","DST","STL","DST","STL","null","10.0634","null","null","94","94","null","null","0.4156","null","null","null","10.8576","9.0505","8.1623","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","5.7183","null","null","203","203","null","null","0.039","null","null","null","6.0055","4.2","6.3306","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","3.8516","null","null","248","248","null","null","null","null","null","null","4.6948","2.3","8.4341","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","7.5774","null","null","152","152","null","null","0.42","null","null","null","7.6439","5.6282","5.4506","null",
"100021","null","Patriots","DST","NE","DST","NE","null","6.8832","null","null","171","171","null","null","0.0213","null","null","null","8.0602","4.5648","2.7262","null",
"100022","null","Saints","DST","NO","DST","NO","null","5.8885","null","null","199","199","null","null","0.1796","null","null","null","6.3793","3.9679","3.3995","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","6.6973","null","null","177","177","null","null","0.2408","null","null","null","7.4649","2.0811","5.9084","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","8.2604","null","null","137","137","null","null","0.7558","null","null","null","8.5535","4.7341","3.2671","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","9.5889","null","null","101","101","null","null","0.6459","null","null","null","10.2227","8.7879","7.1812","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","4.7114","null","null","220","220","null","null","0.7225","null","null","null","5.0071","2.593","3.5009","null",
"100028","null","Chargers","DST","SD","DST","SD","null","4.7909","null","null","219","219","null","null","0.3721","null","null","null","5.408","1.7693","3.753","null",
"100029","null","49ers","DST","SF","DST","SF","null","6.0071","null","null","194","194","null","null","0.0684","null","null","null","7.2615","5.13","3.069","null",
