playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.2787","null","null","402","402","null","null","0.0029","null","null","null","0.5649","0","7.4865","null",
"79858","null","Mark Sanchez","QB","PHI","QB","PHI","null","17.2011","null","null","16","16","null","null","0.3015","null","null","null","19.9783","12.9023","2.9457","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","18.4159","null","null","12","12","null","null","0.9142","null","null","null","21.0233","14.1988","3.4947","null",
"80425","null","Percy Harvin","WR","BUF","WR","BUF","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","11.86","null","null","70","70","null","null","0.2374","null","null","null","13.9537","9.0353","4.8434","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","KC","QB","KC","null","0.0738","null","null","436","436","null","null","0.0638","null","null","null","0.1333","-0.044","4.4049","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","HOU","QB","HOU","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"81306","null","Brandon Tate","WR","CIN","WR","CIN","null","0.9539","null","null","347","347","null","null","0.0377","null","null","null","1.9853","0","7.8387","null",
"81857","null","Kevin Ogletree","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"89688","null","Kevin Brock","TE","FA","TE","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","3.0013","null","null","263","263","null","null","0.1274","null","null","null","3.7474","1.63","4.8544","null",
"89798","null","Antone Smith","RB","CHI","RB","CHI","null","0.7731","null","null","362","362","null","null","0.0431","null","null","null","1.5584","0","3.2983","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","null","7.6971","null","null","143","143","null","null","0.2111","null","null","null","9.5938","5.6514","4.3532","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","6.7756","null","null","168","168","null","null","0.2048","null","null","null","7.1108","6.1354","8.803","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","5.5941","null","null","196","196","null","null","0.4228","null","null","null","8.4672","2.3","8.8148","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","4.7333","null","null","215","215","null","null","null","null","null","null","4.7951","2.9144","5.6633","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","7.9517","null","null","138","138","null","null","0.4702","null","null","null","9.158","7.7","6.8419","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","5.8142","null","null","191","191","null","null","0.0513","null","null","null","7.9151","3.6","6.0873","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","6.0964","null","null","183","183","null","null","0.0273","null","null","null","7.5425","3.7051","5.239","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","6.0761","null","null","184","184","null","null","0.1046","null","null","null","7.0391","3.7","2.3573","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","8.68","null","null","113","113","null","null","0.5801","null","null","null","9.4006","4.2888","6.6522","null",
"100010","null","Lions","DST","DET","DST","DET","null","5.3622","null","null","198","198","null","null","0.5053","null","null","null","6.2361","3","3.9818","null",
"100011","null","Packers","DST","GB","DST","GB","null","6.4353","null","null","174","174","null","null","0.1423","null","null","null","7.3515","4.6564","2.8256","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","7.559","null","null","146","146","null","null","0.3366","null","null","null","9.2557","6.1","3.8576","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","6.2487","null","null","178","178","null","null","0.1235","null","null","null","6.99","5.2","4.3136","null",
"100014","null","Colts","DST","IND","DST","IND","null","6.062","null","null","185","185","null","null","0.1923","null","null","null","26.9994","2.9931","3.678","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","7.0175","null","null","164","164","null","null","0.2766","null","null","null","7.8071","4.9652","7.5097","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","6.7063","null","null","170","170","null","null","0.32","null","null","null","7.5249","6","4.2366","null",
"100017","null","Rams","DST","STL","DST","STL","null","8.0603","null","null","133","133","null","null","0.3049","null","null","null","9.4118","7","4.4333","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","6.3372","null","null","175","175","null","null","0.1358","null","null","null","7.0768","4.5264","3.6281","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","5.8583","null","null","190","190","null","null","0.0457","null","null","null","6.0754","4.6","5.3454","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","5.7147","null","null","194","194","null","null","0.2366","null","null","null","6.7262","4.8993","4.8083","null",
"100021","null","Patriots","DST","NE","DST","NE","null","7.0408","null","null","163","163","null","null","0.1442","null","null","null","8.1326","5.9553","4.2205","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","8.1395","null","null","130","130","null","null","0.1335","null","null","null","10.1419","5.1","7.5333","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","9.0496","null","null","107","107","null","null","0.6399","null","null","null","9.668","7.3661","5.1438","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","6.154","null","null","180","180","null","null","0.0677","null","null","null","8.3226","3.9279","7.5203","null",
"100028","null","Chargers","DST","SD","DST","SD","null","4.9804","null","null","208","208","null","null","null","null","null","null","5.349","2.5","1.7935","null",
"100029","null","49ers","DST","SF","DST","SF","null","5.8111","null","null","192","192","null","null","0.1568","null","null","null","6.9651","4.2","2.9008","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","9.5504","null","null","102","102","null","null","0.6856","null","null","null","10.7036","6.4823","8.2297","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","7.404","null","null","152","152","null","null","0.3748","null","null","null","8.6598","5.1","3.1075","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","5.8811","null","null","188","188","null","null","0.0449","null","null","null","6.3018","3.7","3.0488","null",
"238445","null","Frank Summers","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","3.8227","null","null","243","243","null","null","0.3088","null","null","null","4.9501","0.8027","6.3681","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"496812","null","Erik Lorig","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"497095","null","Sam Bradford","QB","PHI","QB","PHI","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"497108","null","Jimmy Clausen","QB","CHI","QB","CHI","null","0.2454","null","null","408","408","null","null","0.0179","null","null","null","0.3951","0","4.1531","null",
"497117","null","Mike Kafka","QB","FA","QB","FA","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","PHI","QB","PHI","null","0.0164","null","null","452","452","null","null","0.0147","null","null","null","0.025","0","5.4323","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.7292","null","null","366","366","null","null","0.1134","null","null","null","1.331","0","6.7436","null",
"497135","null","Tim Tebow","QB","FA","QB","FA","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"497145","null","Joique Bell","RB","DET","RB","DET","null","7.0623","null","null","162","162","null","null","0.1115","null","null","null","9.2302","3.7537","5.009","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","12.2363","null","null","64","64","null","null","0.1648","null","null","null","14.426","6.3023","5.931","null",
"497172","null","Anthony Dixon","RB","BUF","RB","BUF","null","0.9924","null","null","343","343","null","null","0.0462","null","null","null","2.0531","0","3.4243","null",
"497174","null","Jonathan Dwyer","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","JAC","RB","JAC","null","0.9428","null","null","349","349","null","null","0.1334","null","null","null","2.2247","0","3.9985","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"497190","null","Dexter McCluster","RB","TEN","RB","TEN","null","6.9174","null","null","166","166","null","null","0.2394","null","null","null","8.2757","0.6","5.5702","null",
"497192","null","Joe McKnight","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"497206","null","James Starks","RB","GB","RB","GB","null","11.3602","null","null","75","75","null","null","0.5579","null","null","null","12.6578","8.9656","2.9394","null",
"497208","null","Ben Tate","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"497218","null","Trindon Holliday","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","2.7269","null","null","275","275","null","null","0.2383","null","null","null","3.4924","1.5","4.0817","null",
"497234","null","Garrett Graham","TE","HOU","TE","HOU","null","0.8957","null","null","352","352","null","null","0.0499","null","null","null","1.8853","0","2.3989","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","11.2933","null","null","77","77","null","null","0.393","null","null","null","13.9312","9.5576","8.018","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","4.0561","null","null","235","235","null","null","0.2128","null","null","null","4.7277","2.9703","3.6836","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","14.9614","null","null","35","35","null","null","3.154","null","null","null","17.5021","12.77","8.5851","null",
"497242","null","Clay Harbor","TE","JAC","TE","JAC","null","1.2812","null","null","327","327","null","null","0.2146","null","null","null","2.817","0.17","3.9474","null",
"497250","null","Anthony McCoy","TE","WAS","TE","WAS","null","0.1491","null","null","422","422","null","null","0.013","null","null","null","0.3078","0","6.2142","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"497256","null","Tony Moeaki","TE","ATL","TE","ATL","null","0.5878","null","null","375","375","null","null","0.1282","null","null","null","1.044","0","3.8403","null",
"497258","null","Andrew Quarless","TE","GB","TE","GB","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0.1309","null","null","431","431","null","null","0.0507","null","null","null","0.2939","0","7.596","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","15.2952","null","null","32","32","null","null","0.2136","null","null","null","18.5034","12.22","6.7013","null",
"497282","null","Riley Cooper","WR","PHI","WR","PHI","null","5.0198","null","null","205","205","null","null","0.0981","null","null","null","7.8941","2.7717","5.6419","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","12.7132","null","null","58","58","null","null","0.1697","null","null","null","15.836","9.46","5.1223","null",
"497286","null","Marcus Easley","WR","BUF","WR","BUF","null","0.4496","null","null","390","390","null","null","0.0536","null","null","null","1.0772","0","5.9742","null",
"497288","null","Jacoby Ford","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"497302","null","Brandon LaFell","WR","NE","WR","NE","null","12.9102","null","null","55","55","null","null","0.1004","null","null","null","15.211","10.311","4.5868","null",
"497312","null","Preston Parker","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"497320","null","Andre Roberts","WR","WAS","WR","WAS","null","0.9106","null","null","351","351","null","null","0.0373","null","null","null","1.9469","0","4.0526","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","11.5832","null","null","72","72","null","null","0.0829","null","null","null","14.0473","8.0886","7.5446","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","11.0487","null","null","80","80","null","null","0.1814","null","null","null","12.1359","8.587","4.8565","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","14.5931","null","null","41","41","null","null","0.3472","null","null","null","16.8911","12.24","6.6923","null",
"497336","null","Damian Williams","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"1037366","null","Michael Palmer","TE","FA","TE","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"1037847","null","Deji Karim","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","CHI","WR","CHI","null","2.9501","null","null","266","266","null","null","0.1264","null","null","null","4.2962","0.85","3.6354","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","8.1917","null","null","127","127","null","null","0.7294","null","null","null","8.7947","6.5","3.874","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","17.6259","null","null","13","13","null","null","0.293","null","null","null","19.9851","14.744","3.4559","null",
"2495158","null","Leonard Hankerson","WR","ATL","WR","ATL","null","7.8658","null","null","141","141","null","null","0.3183","null","null","null","9.0835","5.6472","2.1595","null",
"2495161","null","Roy Helu","RB","OAK","RB","OAK","null","3.4119","null","null","255","255","null","null","0.1029","null","null","null","7.6449","-0.0491","9.8513","null",
"2495162","null","Alex Henery","K","FA","K","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495172","null","Kendall Hunter","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"2495179","null","Jerrel Jernigan","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","1.1895","null","null","330","330","null","null","0.0808","null","null","null","1.9954","0","2.2703","null",
"2495187","null","Lance Kendricks","TE","STL","TE","STL","null","3.053","null","null","262","262","null","null","0.1017","null","null","null","3.386","2.566","4.506","null",
"2495189","null","Jeremy Kerley","WR","NYJ","WR","NYJ","null","4.3585","null","null","227","227","null","null","0.3064","null","null","null","5.2927","2.25","4.4275","null",
"2495192","null","Greg Little","WR","FA","WR","FA","null","0.0564","null","null","441","441","null","null","0.0223","null","null","null","0.11","0","8.2769","null",
"2495194","null","Jake Locker","QB","FA","QB","FA","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","null","16.1879","null","null","24","24","null","null","0.4145","null","null","null","17.9126","13.3","5.711","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495212","null","Austin Pettis","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495215","null","Christian Ponder","QB","FA","QB","FA","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"2495223","null","Greg Salas","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.6557","null","null","370","370","null","null","0.068","null","null","null","1.116","0.1","6.3166","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","16.7576","null","null","20","20","null","null","0.1179","null","null","null","18.4084","12.2297","3.8018","null",
"2495241","null","Daniel Thomas","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","2.6095","null","null","278","278","null","null","0.2669","null","null","null","3.1139","1.2579","5.3143","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","null","9.083","null","null","105","105","null","null","0.1186","null","null","null","9.4123","8.3042","4.2641","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","5.9969","null","null","186","186","null","null","0.4919","null","null","null","7.0276","4.5","5.4927","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","1.5373","null","null","320","320","null","null","0.0672","null","null","null","2.7826","0.27","2.1995","null",
"2495306","null","Ricardo Lockette","WR","SEA","WR","SEA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495314","null","Bruce Miller","RB","SF","RB","SF","null","1.3392","null","null","326","326","null","null","0.2006","null","null","null","1.6953","0.4083","4.5897","null",
"2495315","null","Denarius Moore","WR","BUF","WR","BUF","null","0.2446","null","null","409","409","null","null","0.0486","null","null","null","0.4235","0","7.2894","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","5.0163","null","null","207","207","null","null","0.0894","null","null","null","7.3659","2.852","2.8662","null",
"2495331","null","Aldrick Robinson","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495338","null","Dane Sanzenbacher","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.5041","null","null","385","385","null","null","0.0501","null","null","null","0.8794","0.03","7.6177","null",
"2495341","null","Cecil Shorts","WR","HOU","WR","HOU","null","7.9029","null","null","140","140","null","null","0.1443","null","null","null","10.8067","5.01","3.8567","null",
"2495347","null","Lee Smith","TE","OAK","TE","OAK","null","1.7876","null","null","308","308","null","null","0.1479","null","null","null","2.3443","0.38","2.5874","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","7.4351","null","null","150","150","null","null","0.496","null","null","null","8.8135","5","5.8602","null",
"2495425","null","Scott Tolzien","QB","GB","QB","GB","null","0.2344","null","null","411","411","null","null","0.0374","null","null","null","0.4091","-0.082","4.0351","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","5.6488","null","null","195","195","null","null","0.3262","null","null","null","6.7535","4.439","4.7595","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","13.6334","null","null","49","49","null","null","5.4361","null","null","null","15.694","10.7017","4.522","null",
"2495443","null","Ryan Mallett","QB","FA","QB","FA","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","12.614","null","null","60","60","null","null","0.3166","null","null","null","13.4436","9.6666","5.9387","null",
"2495449","null","Tandon Doss","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","null","14.6054","null","null","40","40","null","null","0.1758","null","null","null","17.3854","11.84","6.732","null",
"2495453","null","Andre Holmes","WR","OAK","WR","OAK","null","4.0361","null","null","236","236","null","null","0.1194","null","null","null","5.5857","2.2247","4.0403","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","18.5507","null","null","10","10","null","null","2.9618","null","null","null","20.7625","15.35","6.1335","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","22.2899","null","null","1","1","null","null","1.4897","null","null","null","25.5923","19.434","5.4503","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","6.133","null","null","182","182","null","null","0.2143","null","null","null","7.2352","4.0581","3.7173","null",
"2495467","null","Taiwan Jones","RB","OAK","RB","OAK","null","2.7497","null","null","273","273","null","null","0.0499","null","null","null","4.0385","0.04","2.5599","null",
"2495468","null","Mikel Leshoure","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"2495470","null","Stevan Ridley","RB","NYJ","RB","NYJ","null","1.7624","null","null","309","309","null","null","0.3338","null","null","null","3.7646","0.15","2.6403","null",
"2495471","null","Jacquizz Rodgers","RB","CHI","RB","CHI","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"2495474","null","Ryan Williams","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"2495560","null","Ahmad Bradshaw","RB","IND","RB","IND","null","4.2805","null","null","230","230","null","null","0.1295","null","null","null","4.8627","0.6903","1.6493","null",
"2495573","null","Scott Chandler","TE","NE","TE","NE","null","3.6067","null","null","248","248","null","null","0.2144","null","null","null","4.624","1.5","1.7778","null",
"2495620","null","Clark Harris","TE","CIN","TE","CIN","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
