playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.2337","null","null","295","295","null","null","0.0068","null","null","null","3.501","1.06","5.4786","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","7.1519","null","null","161","161","null","null","0.6454","null","null","null","8.7417","4.59","3.3212","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.2729","null","null","404","404","null","null","0.0094","null","null","null","0.6457","0","5.6799","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","4.2661","null","null","231","231","null","null","0.3373","null","null","null","10.0148","-0.1379","13.5826","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.0528","null","null","340","340","null","null","0.1508","null","null","null","1.8096","0","4.2677","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","10.4226","null","null","89","89","null","null","0.9508","null","null","null","12.9403","6.1217","4.0782","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","15.6046","null","null","28","28","null","null","0.6078","null","null","null","18.8895","9.3","7.132","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.0047","null","null","8","8","null","null","0.3159","null","null","null","20.0177","17.0892","3.4182","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","2.541","null","null","281","281","null","null","0.0235","null","null","null","3.7626","0.238","1.5507","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","7.2663","null","null","157","157","null","null","0.962","null","null","null","8.7856","2.7746","4.1803","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.9323","null","null","18","18","null","null","0.12","null","null","null","18.1764","14.6897","2.6424","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","11.1855","null","null","78","78","null","null","0.1777","null","null","null","12.9417","5.5797","5.1934","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","12.8605","null","null","57","57","null","null","0.2927","null","null","null","15.4591","8.8532","6.7551","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","13.2732","null","null","51","51","null","null","0.254","null","null","null","14.7961","8.2211","5.5779","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","10.2748","null","null","90","90","null","null","0.7802","null","null","null","13.965","8.11","7.6032","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","8.7833","null","null","110","110","null","null","0.3288","null","null","null","10.0364","6.2325","4.84","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","1.6874","null","null","313","313","null","null","0.0523","null","null","null","3.067","-0.0994","5.5477","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.7508","null","null","363","363","null","null","0.0917","null","null","null","1.36","0.06","5.775","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","8.3927","null","null","120","120","null","null","0.2522","null","null","null","9.5363","6.33","4.2612","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","12.4731","null","null","61","61","null","null","0.3564","null","null","null","14.5916","6.9218","5.7588","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","12.6933","null","null","59","59","null","null","0.3541","null","null","null","17.3572","10.2","5.7625","null",
"4381","null","Garrett Hartley","K","FA","K","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","3.6031","null","null","249","249","null","null","0.113","null","null","null","4.464","1.8307","5.0492","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.1404","null","null","424","424","null","null","0.0302","null","null","null","0.2054","0","8.1534","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","5.9568","null","null","187","187","null","null","0.1357","null","null","null","7.2126","4.9427","3.3385","null",
"71247","null","James Casey","TE","FA","TE","FA","null","0.0498","null","null","445","445","null","null","0.0017","null","null","null","0.0979","0","7.0828","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0","null","null","458","458","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","STL","TE","STL","null","5.284","null","null","200","200","null","null","0.5796","null","null","null","6.5202","3.7924","4.8365","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","13.2836","null","null","50","50","null","null","0.2715","null","null","null","15.7149","7.8871","5.4589","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","9.7678","null","null","98","98","null","null","0.06","null","null","null","10.6236","7.6458","3.2902","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","2.0221","null","null","303","303","null","null","0.2094","null","null","null","2.7733","0.5106","4.5257","null",
"71435","null","John Phillips","TE","SD","TE","SD","null","0.3271","null","null","399","399","null","null","0.1256","null","null","null","0.6182","0","5.2913","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","458","781","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","458","779","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","0.8408","null","null","358","358","null","null","0.0245","null","null","null","1.7684","0","4.3189","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","13.1779","null","null","52","52","null","null","0.4011","null","null","null","15.1157","11.36","5.3733","null",
