playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","472","794","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.2149","null","null","300","300","null","null","0.2197","null","null","null","3.5168","0.5","4.953","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","6.1785","null","null","190","190","null","null","0.1512","null","null","null","7.3856","3.8923","2.1706","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.7034","null","null","375","375","null","null","0.0361","null","null","null","1.3836","0.07","4.6818","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","16.953","null","null","18","18","null","null","1.1603","null","null","null","17.6175","14.82","5.4086","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1703","null","null","340","340","null","null","0.099","null","null","null","2.0386","0","2.0172","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","9.9528","null","null","88","88","null","null","0.1829","null","null","null","11.8253","2.8849","5.5075","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","5.8102","null","null","197","197","null","null","0.2506","null","null","null","8.1029","2.9","3.2446","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","20.4803","null","null","4","4","null","null","1.1163","null","null","null","22.1549","18.7192","4.6621","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","472","794","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","4.9358","null","null","220","220","null","null","0.4061","null","null","null","6.8777","1.9619","4.9384","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.3114","null","null","27","27","null","null","0.8937","null","null","null","18.054","12.1509","4.4024","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","4.3708","null","null","230","230","null","null","0.0405","null","null","null","8.6111","0","8.4851","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","472","794","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","19.7407","null","null","5","5","null","null","2.9625","null","null","null","20.6923","18.07","5.7362","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","14.4074","null","null","42","42","null","null","0.8687","null","null","null","16.7539","11.06","5.791","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","472","794","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","472","794","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","7.3166","null","null","156","156","null","null","0.5199","null","null","null","8.7258","5.4","4.5953","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","11.1433","null","null","70","70","null","null","0.4382","null","null","null","15.2746","9.13","7.8549","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","472","794","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","6.4412","null","null","183","183","null","null","0.1258","null","null","null","10.9315","-0.0983","8.0712","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.6744","null","null","380","380","null","null","0.0441","null","null","null","1.2701","0","5.5036","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","11.8497","null","null","64","64","null","null","0.1859","null","null","null","15.7886","7.31","4.9903","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","6.9692","null","null","166","166","null","null","0.0579","null","null","null","8.9745","3.7149","1.8132","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","9.734","null","null","96","96","null","null","0.522","null","null","null","10.7372","6.8065","2.6667","null",
"4381","null","Garrett Hartley","K","PIT","K","PIT","null","0","null","null","472","472","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0.0232","null","null","463","463","null","null","0.0183","null","null","null","0.0426","0","7.6251","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","2.6246","null","null","290","290","null","null","0.1371","null","null","null","4.603","0.01","5.1238","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.064","null","null","451","451","null","null","0.0193","null","null","null","0.1523","0","7.03","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","8.8425","null","null","117","117","null","null","0.6824","null","null","null","11.3745","5.3774","5.5442","null",
"71247","null","James Casey","TE","DEN","TE","DEN","null","0.5786","null","null","390","390","null","null","0.0424","null","null","null","0.9105","0.0998","4.7518","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0.3792","null","null","404","404","null","null","0.0253","null","null","null","0.6323","0","5.3056","null",
